question,A,B,C,D,E,answer,parse,model_output,correctness
归麻止痛膏治疗哪些中医证候,湿热蕴肤证,风寒湿凝滞筋骨证,风热血热证,胸阳不振痰气互结之胸痹,损筋骨证,B,该方剂中医证候为伤损筋骨证、风湿证、风寒湿凝滞筋骨证,D,0
强力宁片与哪些靶点基因相关,COMT,SIRT3,TUBB4B,CHRM4,SRD5A2,E,该方剂靶点基因为SRD5A2，HTR7，DHCR7，ACHE，ADORA1，ADRA1A，ADRA1D，AR，ACE，CYP19A1，CYP19A1，AURKB，BCL2L1，ADRB1，ADRB2，ADRB3，NR1H4，ABCG2，CA12，CA14等。,D,0
四方胃胶囊治疗哪些中医证候,邪入心包证,血虚风盛证,气血虚弱证,肺虚证,肝胃不和证,E,该方剂中医证候为肝胃不和证,E,1
祁门蛇药片治疗哪些西医疾病,抗肿瘤,糖尿病肾病及糖尿病足,乙型肝炎肝硬化,周围神经病变,胸腔内胃扭转,E,该方剂西医疾病为心肌病、牙釉质发育不全症、软腭裂、髋关节发育不良、肌肉萎缩症、神经元病变、瘙痒、多发性脂肪囊肿、幽门狭窄、遗传性角化性皮炎、三毛症、甲状腺肿、霍纳综合征、胸腔内胃扭转、失聪、脂肪性水肿,D,0
拨云锭治疗哪些西医疾病,小儿中毒性肠麻痹,46xy性别逆转,慢性精神分裂症,小儿肠系膜淋巴结炎,前列腺炎,B,"该方剂西医疾病为骨痛、肾炎/骨质疏松症、神经元病变、46,XX男性性别逆转综合征、布朗特疾病、乌平顿病、46xy性别逆转、肝腺瘤、低钙高钙血症、垂直距骨、半骺发育不良伴软骨瘤和骨软骨瘤、伊贺肾病、远端骨硬化、霍纳综合征、伯纳德-苏利尔综合征、脾肿大、失聪",A,0
狼疮丸与哪些靶点基因相关,VEGFA,CASP14,APAF1,CHRNA7,PDE7B,A,该方剂靶点基因为YWHAG，PLCG1，PLCG2，RNASEL，EBP，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2A，HTR2B等。,A,1
排石利胆颗粒具有哪些功效,清热利水,清热利便,固表和营,消积化滞,舒肝理气,E,该方剂功效为舒肝理气，利胆排石,A,0
肿痛安胶囊具有哪些功效,疏风散热,镇肝潜阳,益精填髓,息风止痛,消肿定痛,E,该方剂功效为祛风化痰，行瘀散结，消肿定痛,E,1
肾炎舒颗粒适用于哪些中医证候,风寒犯头证,风湿热证,水湿内停证,脾胃积热证,风寒湿邪痹阻证,C,该方剂中医证候为水湿内停证、脾肾阳虚证,C,1
蚕蛾公补片治疗哪些中医疾病,银屑病,皮肤病,温病,伤暑,早泄,E,该方剂中医疾病为阳痿，不孕，性冷，早泄,E,1
生血宝合剂含有哪些中药材,蔊菜,山葡萄藤,桑葚,银花,功劳木提取物,C,该方剂处方为制何首乌、黄芪、女贞子、桑葚、墨旱莲、白芍、狗脊,E,0
复方仙鹤草肠炎胶囊含有哪些中药材,石菖蒲,土木香,滇鸡血藤膏粉,膜叶槌果藤,润喉散,A,该方剂处方为仙鹤草、黄连、木香、石菖蒲、蝉蜕、桔梗,C,0
麻黄止嗽丸适用于哪些中医疾病,咳嗽,早衰症,腹痛,恶露不尽,喘促,A,该方剂中医疾病为鼻塞，咳嗽，感冒,A,1
肺气肿片具有哪些功效,开窍定惊,解肌退热,活血化瘀,解痛,清热化痰止嗽,C,该方剂功效为补肾益气，活血化瘀，止咳祛痰,E,0
益髓冲剂具有哪些功效,开窍止痛,益精填髓,和胃固卫,止痛消瘀,息风定痫,B,该方剂功效为益精填髓，补肾壮阳,B,1
损伤止痛膏治疗哪些中医证候,热毒证,肝郁肾虚证,心胆虚怯证,暑湿袭表证,伤损筋骨证,E,该方剂中医证候为伤损筋骨证、瘀滞筋骨证、风寒湿凝滞筋骨证,E,1
蠲哮片的类别是什么,止咳平喘剂,止泻剂,养血生发,泻下药,理气药,A,该方剂类别为止咳平喘剂,E,0
复方荆芥熏洗剂的类别是哪些,疗伤止痛,安神剂,化痰药,疮疡消药,清热消痤,D,该方剂类别为疮疡消药,D,1
麝香风湿跌打膏与哪些靶点基因相关,ACVR1,SCN4B,HI_1317,KDM1B,ABCG2,E,该方剂靶点基因为CYP24A1，PLCG1，CYP27B1，EBP，SRD5A2，PRKAB1，HTR1B，HTR1D，HTR1E，HTR2B，HTR2C，HTR6，HTR7，DHCR7，ACHE，LYPLA1，LYPLA2，ADA，ADK，ADORA1等。,A,0
扶正化瘀胶囊治疗哪些中医证候,心肝阴虚证,心阴虚证,上盛下虚证,肾经证,瘀血阻络证,E,该方剂中医证候为肝肾不足证、瘀血阻络证,E,1
上清胶囊具有哪些功效,清热燥湿止泻,利湿通窍,追风祛湿,清热散风,生津止泻,D,该方剂功效为清热散风，解毒，通便,D,1
清热八味丸与哪些靶点基因相关,cIAP1-BIR3,VC1968,PLCG1,GLO1,NPEPPS,C,该方剂靶点基因为PLCG1，SRD5A2，PRKAB1，HTR1B，HTR1D，HTR2B，HTR2C，HTR6，HTR7，DHCR7，CHRNA1，CHRND，ACHE，ADA，ADK，ADORA1，ADORA2A，ADORA2B，ADORA2A，ADORA3等。,C,1
肝脾康胶囊与哪些靶点基因相关,GSTA2,TK1,CCR8,SLC6A7,DOT1L,E,该方剂靶点基因为YWHAG，PLCG1，PLCG2，RNASEL，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2B，HTR2C，HTR3A等。,A,0
鼻炎灵片治疗哪些中医证候,痰蒙清窍证,邪热壅结证,肾气亏虚证,胞宫寒湿证,暑湿感冒证,B,该方剂中医证候为邪热壅结证、风热犯鼻证、风热犯肺证、肺经风热证,A,0
玉泉胶囊与哪些靶点基因相关,HAPLN1,AGL,GLA,SLC6A9,PHB2,B,该方剂靶点基因为YWHAG，PLCG1，PLCG2，RNASEL，EBP，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2A，HTR2B等。,A,0
小儿牛黄清心散治疗哪些中医疾病,小儿蛔虫病,经量过少,昏迷,更年期综合征,发背,C,该方剂中医疾病为昏迷，急惊风，抽搐,C,1
抗栓胶囊具有哪些功效,解郁宽胸,滋养心阴,活血化瘀,散郁调经,驱风除湿,C,该方剂功效为活血化瘀，抗栓通脉,C,1
心力丸中君药是哪些,千年健,想木,黄瓜子,人参,蝼蛄,D,该方剂君臣佐使为君药：附片、人参；臣药：蟾酥、麝香；佐药：红花、附片、灵芝、牛黄、人参、珍珠、冰片,D,1
清脑安神丸的类别是什么,安神药,表里双解剂,泻下药,活血通脉,清热通窍,A,该方剂类别为安神药,A,1
断血流颗粒适用于哪些西医疾病,免疫性血小板减少性紫癜,胃及十二指肠溃疡,甲亢术后手足搐搦症,失血性休克及冠心病,智力迟钝,A,该方剂西医疾病为免疫性血小板减少性紫癜、流产后出血，口腔出血、功能失调性子宫出血,A,1
胃尔康片中佐药是哪些,木鳖子,草豆蔻,木香,桃枝,刺五加,C,该方剂君臣佐使为君药：党参；臣药：天花粉、五味子、乌梅；佐药：马钱子、木香、山楂,C,1
四季三黄片具有哪些功效,温阳祛痰,收缩痔核,养阴补血,消炎退热,发痉止痛,D,该方剂功效为消炎退热，通便利水,D,1
杞菊地黄片与哪些靶点基因相关,HSD3B1,KDM5D,PLCG1,HSD17B1,NUDT9,C,该方剂靶点基因为PLCG1，EBP，SRD5A2，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2A，HTR2B，HTR2C，HTR3A，HTR6，HTR7，PGD，PLA2G6，CHRNA1，CHRND，ACHE，ADA等。,A,0
牛黄蛇胆川贝散滴丸中君药是哪些,松节油,牛黄,苦木,猪牙皂,降香,B,该方剂君臣佐使为君药：牛黄；臣药：川贝母；佐药：蛇胆汁；使药：薄荷脑,B,1
愈肝片适用于哪些中医证候,精气不足证,血亏证,肝胆湿热证,上攻咽喉证,热毒证,C,该方剂中医证候为肝胆湿热证,C,1
小柴胡片具有哪些功效,清热降火,祛湿止痛,抑菌,和解少阳,温中化湿,D,该方剂功效为解表散热，和解少阳,D,1
清凉丹适用于哪些中医疾病,痴呆,温毒发斑,痿症,褥疮,晕动病,E,该方剂中医疾病为晕动病,B,0
镇肝熄风汤包含哪些中药材,茵陈,龙胆浸膏,乌药,蛇葡萄,百部,A,该方剂处方为怀牛膝、生赭石、生龙骨、生牡蛎、龟板、杭芍、玄参、天冬、川楝子、麦芽、茵陈、甘草,D,0
玉泉丸中君药是哪些,鲜松叶,肉豆蔻,葛根,半夏曲,自然铜,C,该方剂君臣佐使为君药：葛根；臣药：天花粉、生地；佐药：五味子、麦冬；使药：甘草,A,0
感冒舒颗粒中君药是哪些,栀子,当药,大戟,连翘,白石脂,D,该方剂君臣佐使为君药：大青叶、连翘；臣药：荆芥、薄荷、防风、白芷；佐药：牛蒡子、桔梗；使药：甘草,D,1
贝羚胶囊中臣药是哪些,黄连素,硼砂,当药,皂矾,硒砂,B,该方剂君臣佐使为君药：川贝母、羚羊角；臣药：人工天竺黄、硼砂；使药：沉香、麝香,C,0
岩果止咳液的类别是什么,安神药,止咳平喘剂,补肾壮骨,祛暑剂,清肠化痔,B,该方剂类别为止咳平喘剂,B,1
玉露保肺丸与哪些靶点基因相关,CYP2C9,ITPKA,LGALS8,ADRA1A,GLRX2,D,该方剂靶点基因为PLCG1，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR2B，HTR2C，HTR3A，HTR6，HTR7，DHCR7，ACHE等。,C,0
速克感冒片适用于哪些中医疾病,鼻衄,白血病,血证,耳疮,风温,E,该方剂中医疾病为风温，感冒,E,1
维肤康乳膏含有哪些中药材,人参果实提取的总皂甙,丁香油,地稔,硼砂,绒楠,D,该方剂处方为硫磺、硼砂,A,0
金泽冠心片治疗哪些西医疾病,黑皮病,睡惊症,脾肿大,乳腺癌-卵巢癌,甘露糖结合凝集素缺乏症,E,该方剂西医疾病为甘露糖结合凝集素缺乏症、肺纤维化、腹部肥胖-代谢综合征、免疫缺陷伴有白细胞和淋巴细胞功能缺陷以及对组胺-1拮抗剂的反应、神经元病变、乌平顿病、幽门狭窄、脑动静脉畸形、牙齿排列不齐，伴或不伴有乳牙发育不全/孤颌症、霍纳综合征、伯纳德-苏利尔综合征、抗磷脂综合征、脾肿大、主动脉瘤、失聪、红细胞增多症,E,1
屏风安心胶囊具有哪些功效,宣肺祛痰,化腐生肌,祛风通络,固表,解表退热,D,该方剂功效为益气，扶阳，固表,D,1
抗腮腺炎注射液适用于哪些中医疾病,口糜,风疹,产后腹痛,血证,气疝,B,该方剂中医疾病为风疹，小儿感冒，痄腮，发热，感冒,B,1
胃肠宁片与哪些靶点基因相关,ELANE,DNM1,BPI,P2RX4,EPHA6,A,该方剂靶点基因为ACHE，AR，CYP19A1，CYP19A1，NR1H4，CNR2，CA1，CA2，CA4，CTDSP1，CTSD，CISD1，BCHE，F10，CES2，HSD11B1，HSD11B2，CYP1B1，CYP2C9，CYP3A4等。,A,1
冠脉康片适用于哪些中医疾病,胁肋痛,顽癣,胸痹,胰腺癌,鱼鳞病,C,该方剂中医疾病为真心痛，胸痹,C,1
橘红痰咳颗粒适用于哪些中医疾病,喘病,慢喉痹,盗汗,精冷,外感头痛,A,该方剂中医疾病为喘病，咳嗽，感冒，气喘,B,0
益心口服液治疗哪些西医疾病,弱精症,寻常疣,接触性皮炎,过早搏动。,甲状腺功能低下,D,该方剂西医疾病为过早搏动。、青光眼、多发性脂肪囊肿、桥本甲状腺炎、新型冠状病毒肺炎、低钙高钙血症、Ige特应性反应性、遗传性角化性皮炎、自体免疫疾病、三毛症、垂直距骨、角膜营养不良症、霍纳综合征、角膜炎、抗磷脂综合征、四重单体、失聪、脂肪性水肿,D,1
藿香祛暑水与哪些靶点基因相关,PLCG1,ACVR1,PSMB1,VARS,EPHX2,A,该方剂靶点基因为PLCG1，EBP，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2A，HTR2B，HTR2C，HTR3A，HTR6等。,A,1
胆石清片治疗哪些西医疾病,肝腺瘤,便秘型肠易激综合征,药物流产不全,罗兰型癫痫,皮肤结节,A,"该方剂西医疾病为强迫症、上前牙突出导致的错颌畸形、动脉粥样硬化易感性、多发性脂肪囊肿、肝腺瘤、毛周角化性蚕豆病、指纹模式相关的表型异常、青光眼、46,XX男性性别逆转综合征、体重指数定量特征点1、高级睡眠期综合征、失聪、巨型水泥瘤、真皮皱褶、桡肘关节突、成髓不全症、霍纳综合征、重度情感障碍、身材矮小伴有非特异性骨骼异常",B,0
生血康口服液具有哪些功效,补气生血,镇惊通窍,敛汗,清肝利胆,清热泻火通便,A,该方剂功效为补气生血，健脾益肾，化瘀解毒,A,1
开郁顺气丸治疗哪些西医疾病,局部疼痛,小儿肠痉挛,新型冠状病毒肺炎,腰椎间盘突出症,稽留症,C,该方剂西医疾病为巨球蛋白血症、甲状旁腺功能亢进症、肾炎/骨质疏松症、多发性脂肪囊肿、乌平顿病、新型冠状病毒肺炎、低钙高钙血症、Li-Fraumeni综合征、三毛症、霍纳综合征、伴有免疫异常的主动脉钙化症、动脉粥样硬化易感性、免疫缺陷伴有白细胞和淋巴细胞功能缺陷以及对组胺-1拮抗剂的反应、高级睡眠期综合征、脾肿大、失聪、脂肪性水肿,D,0
疏肝益阳胶囊有哪些功效,补肾益肝,活血,除湿化痰,消散顺气,活血补肾,E,该方剂功效为疏肝解郁，活血补肾,A,0
复方桔梗止咳片的类别是什么,清肠化痔,驱虫剂,化痰药,疏风清热,化瘀明目,C,该方剂类别为化痰药,C,1
化瘀祛斑胶囊治疗哪些中医疾病,银屑病,喘促,喑痱,精冷,雀斑,E,该方剂中医疾病为酒糟鼻，粉刺，雀斑,E,1
久强脑立清丸治疗哪些中医疾病,脱臼,产后便秘,早产,舌痈,眩晕,E,该方剂中医疾病为头痛，眩晕，失眠，耳鸣,E,1
百艾洗液适用于哪些中医证候,阴疽,气虚证,湿热下注证,脾肾亏虚证,心阴虚证,C,该方剂中医证候为湿热下注证,C,1
醒脑降压丸中佐药是哪些,白及,桂枝,猪鬃草,油松节,雄黄,E,该方剂君臣佐使为君药：黄连、栀子、黄芩；臣药：珍珠母、玄精石、郁金、朱砂、冰片；佐药：零陵香、雄黄、辛夷,D,0
止咳片适用于哪些西医疾病,糖尿病足溃疡,流产后出血，口腔出血,精子膜尿激酶型纤溶酶原激活因子,长骨金刚瘤,扩张性心肌病心衰,D,该方剂西医疾病为急性支气管炎、慢性咳嗽、巨球蛋白血症、甘露糖结合凝集素缺乏症、多发性脂肪囊肿、幽门狭窄、桥本甲状腺炎、新型冠状病毒肺炎、低钙高钙血症、Li-Fraumeni综合征、三毛症、长骨金刚瘤、穆尔-托雷综合征、肝硬化、霍纳综合征、免疫缺陷伴有白细胞和淋巴细胞功能缺陷以及对组胺-1拮抗剂的反应、前列腺癌、失聪,B,0
复方岗稔片适用于哪些中医证候,湿热证,脾虚肠脱证,风热侵咽证,脾虚肝旺之痛泻,肝郁化火证,A,该方剂中医证候为湿热证、肝胆湿热证,D,0
金贝痰咳清颗粒含有哪些中药材,盐小茴香,桃金娘根提取物,漆姑草,碎骨木,桑白皮,E,该方剂处方为浙贝母、金银花、桑白皮、射干、前胡、桔梗、麻黄、炒苦杏仁、川芎、甘草,E,1
复方蛤蚧口服液包含哪些中药材,三七膏粉,合欢皮,草乌,蛤蚧,活性炭,D,该方剂处方为蛤蚧、黄芪、枸杞子、肉苁蓉、杜仲、黄精、狗脊、巴戟天、白术、白芍、熟地黄、茯苓、山药、党参、鸡,D,1
健脾糕片与哪些靶点基因相关,PLCG1,PPP2R5A,TM0306,NAGS,HSD17B11,A,该方剂靶点基因为PLCG1，PLCG2，EBP，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2A，HTR2B，HTR2C，HTR3A等。,A,1
妙济丸适用于哪些中医证候,气血虚痹,肝肾不足证,心肝火旺证,膀胱证证,邪陷心肝证,B,该方剂中医证候为肝肾不足证、风湿证,B,1
精制冠心口服液治疗哪些中医疾病,胸痹,疟母,鼻衄,胸痛,咳血,A,该方剂中医疾病为胸痹,A,1
草香胃康胶囊的类别是哪些,理气药,补益药,生肌敛疮,开音爽咽,补肾壮骨,A,该方剂类别为理气药,A,1
风寒咳嗽丸适用于哪些中医证候,脾气虚弱证,表里实热证,外感风寒证,气阴两亏证,风寒痹阻证,C,该方剂中医证候为外感风寒证、风寒束表证,C,1
固冲汤具有哪些功效,寒热平调,益气健脾,清热祛暑,镇痉定惊,散风活血,B,该方剂功效为固冲摄血，益气健脾,B,1
清火栀麦丸的类别是什么,化腐利咽,解毒利咽,化瘀明目,清热凉血,解毒利咽,B,该方剂类别为解毒利咽,D,0
金嗓散结丸治疗哪些中医证候,血虚寒厥证,热毒炽盛证,热淋证,肛门湿热证,肺经郁热证,B,该方剂中医证候为热毒蕴结证、气滞血瘀证、热毒炽盛证,E,0
伸筋丹胶囊治疗哪些中医疾病,乳积,丹毒,盆腔炎,血证,颈椎病,E,该方剂中医疾病为肩周炎，痹病，项痹，颈椎病,E,1
百梅止咳冲剂与哪些靶点基因相关,RNASE1,PLCG1,CAD,SHMT2,BHMT2,B,该方剂靶点基因为PLCG1，EBP，HSD17B7，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2A，HTR2B，HTR2C，HTR3A等。,A,0
健儿府积散包含哪些中药材,四方木皮,榧子,菠菜子,三棵针,火硝,B,该方剂处方为使君子肉、雷丸、苦楝皮、榧子、海螵蛸、小茴香、莲子、徐长卿、炉甘石、鸡内金,B,1
风湿祛痛胶囊包含哪些中药材,麻黄浸膏,大驳骨,制川乌,没药,黄凡士林,D,该方剂处方为川黄柏、苍术、威灵仙、鸡血藤、蜂房、乌梢蛇、金钱白花蛇、蕲蛇、红花、土鳖虫、乳香、没药、全蝎、蜈蚣、地龙,A,0
舟车丸中君药是哪些,莲子,川木通,人工牛黄,锦灯笼,芫花,E,该方剂君臣佐使为君药：芫花、甘遂、大戟；臣药：牵牛子、大黄；佐药：陈皮、木香、轻粉、青皮,E,1
婴儿保肺宁胶囊有哪些功效,补髓养血,滋阴助阳,温中散寒,清肺化痰,轻宣凉燥,D,该方剂功效为清肺化痰，止咳降遂,D,1
归脾浓缩丸中佐药是哪些,橘叶,酸枣仁,豨益草,蕤仁,蜈蚣,B,该方剂君臣佐使为君药：龙眼肉、黄芪；臣药：龙眼肉、黄芪、白术、当归、党参；佐药：酸枣仁、茯苓、木香、远志；使药：炙甘草,C,0
岩鹿乳康胶囊治疗哪些中医证候,肾阳不足证,劳淋证,风火证,风热上攻证,风热并重证,A,该方剂中医证候为肾阳不足证、气滞血瘀证、冲任失调证,D,0
鸡血藤膏中臣药是哪些,川牛膝,羌活,石椒草,白檀香,金盏银盘,A,该方剂君臣佐使为君药：鸡血藤；臣药：川牛膝、续断；佐药：饴糖、红花、糯米、黑豆,A,1
泻白散治疗哪些中医疾病,真心痛,直肠癌,气喘,伤筋,热厥,C,该方剂中医疾病为咳嗽，气喘,C,1
玉竹冲剂具有哪些功效,润肺生津,护肤止痒,平胃,补血,清肺利咽,A,该方剂功效为补中益气，润肺生津,A,1
清咽润喉胶囊具有哪些功效,健脾开胃,清理胃肠,散风止痒,消肿止痛,理气和血,D,该方剂功效为清热利咽，消肿止痛,D,1
麝香痔疮栓含有哪些中药材,麝香酮,相思子,金银花叶,姜皮,厚朴去,A,该方剂处方为麝香酮、人工牛黄、珍珠、冰片、三七、五倍子、炉甘石、颠茄流浸膏,A,1
宝宝牛黄散治疗哪些西医疾病,冠状动脉疾病,重症肌无力,小儿咳嗽变异型哮喘,肾病综合征所致的水肿,无大肠息肉病的胃底息肉病,E,该方剂西医疾病为无大肠息肉病的胃底息肉病、半面肌增生症、上前牙突出导致的错颌畸形、神经元病变、多发性脂肪囊肿、皮肤摄影、乌平顿病、脑动静脉畸形、乳腺癌-卵巢癌、肝腺瘤、睡眠时相延迟症、远端骨硬化、成髓不全症、霍纳综合征、视网膜动脉、脑淀粉样血管病、巨型水泥瘤,C,0
青果丸治疗哪些中医疾病,嗜睡,郁病,脉痹,失音,远视,D,该方剂中医疾病为失音，咳嗽，喉喑,D,1
