question,A,B,C,D,E,answer,parse,model_output,correctness
半夏具有哪些功效,平冲降气,消痞散结,益胃生津,降逆止呕,散痞,D,该中药功效为燥湿化痰，降逆止呕，消痞散结,D,1
茺蔚子的性味归经是哪些,辛、咸，温；有小毒。归肺、大肠经。,甘，平。归肺、肝、肾经。,辛，热；有大毒。归肝、胃、肾经。,甘、淡，平。归肝、胃经。,辛、苦，微寒。归心包、肝经。,E,该中药性味归经为辛、苦，微寒。归心包、肝经。,A,0
全蝎治疗哪些中医疾病,热淋,破伤风,神昏,伤寒,聘耳,B,该中药中医疾病为小儿惊风，破伤风，中风，顽痹，疮疡，瘰疬，抽搐，头痛,B,1
拳参适用于哪些中医疾病,湿温,痱子,蛔厥,便闭,瘰疬,E,该中药中医疾病为瘰疬，痔疮，咳嗽,C,0
拳参包含哪些化学成分,L-脯氨酸,香树脂酮,没食子酸,飞燕草素-3-葡萄糖苷,红花素,C,该中药化学成分为没食子酸，并没食子酸，右旋儿茶酚，左旋表儿茶酚，阿魏酸，绿原酸，龙胆酸,D,0
川射干有哪些功效,平肝止痛,利咽,安神镇惊,止咳祛痰,通经,B,该中药功效为清热解毒，祛痰，利咽,A,0
木蝴蝶具有哪些功效,燥湿化痰,收涩止痢,行气导滞,清肺利咽,攻毒抑癌,D,该中药功效为清肺利咽，疏肝和胃,A,0
铅丹具有哪些药理作用,促进消化液分泌,解毒散结,促进纤维蛋白溶解,促进免疫力,改善睡眠,B,该中药药理为解毒散结，杀虫止痒,B,1
决明子有哪些功效,安神益智,外用消风祛斑,清心火,固崩止带,清热明目,E,该中药功效为清热明目，润肠通便,E,1
赤芍的类别是什么,峻下逐水药,清热凉血药,固精止带缩尿药,破血消癥药,辛凉解表药,B,该中药二级类别为清热凉血药,D,0
蛤壳与哪些靶点基因有关,RPL21,HPS5,MST1,CIAO3,SERF2,A,该中药靶点基因为RPL21，RPS12，TFR2，RPL11，RPL3L，RPLP0，MRTO4，RPL10L，RPL36AL，RPL8，MRPL15，LPO，RPL35，ERMP1，RPL32，MRPL22，SLC43A2，RPL36A-HNRNPH2，NAALADL2，RPL18等。,C,0
槐角有哪些功效,明目乌发,利水消肿,生肌敛疮,泻肝胆火,凉血止血,E,该中药功效为清热泻火，凉血止血,E,1
薄荷的类别是什么,化瘀止血药,活血止痛药,清热泻火药,清热燥湿药,发散风热药,E,该中药二级类别为发散风热药,E,1
川射干具有哪些药理作用,利胆溶石,调节血脂,利尿,抗肿瘤,抗炎,E,该中药药理为抗炎，抗肿瘤，抗氧化，抗菌，抗病毒,A,0
禹州漏芦的类别是哪些,利水渗湿药,化痰止咳平喘药,理气药,清热药,祛风湿药,D,该中药一级类别为清热药,A,0
厚朴与哪个靶标相关,AVPR1B,SRD5A2,PRDM2,OXCT2,TRIM15,B,该中药靶点基因为SRD5A2，HTR1B，HTR1D，HTR1E，HTR2B，HTR2C，HTR3A，HTR6，HTR7，DHCR7，ACHE，ADORA1，ADRA1A，ADRA1D，AR，APAF1，CYP19A1，CYP19A1，BCL2L2，ADRB1等。,B,1
山茱萸有哪些药理作用,抑菌,抑制病毒复制,抗癫痫,肌肉松弛,抑制子宫,A,该中药药理为强心，抗血栓，降血糖，利尿，抑制血小板聚集，抗血栓形成，抑菌，抗氧化，升压,A,1
荆芥穗有哪些功效,消肿拔毒,壮阳涩精,解表散风,散瘀止血,祛风活络,C,该中药功效为解表散风，透疹，消疮,C,1
吴茱萸具有哪些药理作用,改善心脏功能,缓解焦虑,抑制血小板聚集,抗衰老||抗氧化,保护肾脏,C,该中药药理为抑制血小板聚集，镇痛,C,1
榧子的性味归经是哪些,苦、涩，寒。归肝、胆、大肠经。,酸、甘，微温。归脾、胃、肝经。,苦、辛，性温；有毒。归肺、肝、脾经。,甘、微苦，微寒。归脾、胃、肝、肺经。,甘，平。归肺、胃、大肠经。,E,该中药性味归经为甘，平。归肺、胃、大肠经。,A,0
玉米须适用于哪些证候,肝胃气滞证,风寒湿痹证,湿热证,肝阳化风证,风热证,C,该中药中医证候为水湿内停病证，湿热证,C,1
木通的相关靶标,GDF7,ACHE,OXA1L,VWA5B2,RHOXF1,B,该中药靶点基因为ACHE，ADORA1，APP，AR，CYP19A1，CYP19A1，AURKB，BCL2L1，NR1H4，CA12，CA14，CA1，CA2，CA3，CA4，CA5A，CA7，CA9，CTDSP1，CASP1等。,A,0
板蓝根适用于哪些中医疾病,蛔厥,便血,温毒发斑,疗疮,热疮,C,该中药中医疾病为温毒发斑，烂喉丹痧，大头瘟，瘟疫，丹毒，发热,C,1
苎麻根配大蓟有哪些功效,宣肺止咳,养血滋阴,补养肝肾,养阴清肺,消食除胀,B,该中药配伍为二者均能凉血止血，大蓟兼能散瘀。两药配伍，凉血止血作用增强，且无凉遏留瘀之嫌，适用于血热妄行所致的出血诸证。,A,0
竹茹有哪些药理作用,抑菌,抗辐射损伤,免疫抑制,退黄,提高免疫力,A,该中药药理为抑菌,B,0
石决明的类别是哪些,涌吐药,收涩药,拔毒化腐生肌药,补虚药,平肝息风药,E,该中药一级类别为平肝息风药,C,0
麦芽的性味归经是哪些,甘，平。归脾、胃经。,咸，寒；有小毒。归肝经。,辛，温；有毒。归肺、脾经。,甘，温；归肺、脾经。,辛，平。归肺经。,A,该中药性味归经为甘，平。归脾、胃经。,A,1
浮萍配荆芥、防风有哪些功效,活血止痛,清热止带,利水消肿,和胃止痛,补脾益气,C,该中药配伍为三者均能祛风止痒，配伍后增强祛风止痒之功，可用治风疹瘙痒。,B,0
香附的类别是什么,活血化瘀药,清热药,拔毒化腐生肌药,利水渗湿药,理气药,E,该中药一级类别为理气药,E,1
厚朴花适用于哪些西医疾病,组织细胞增生症,阿什曼综合征,伯纳德-苏利尔综合征,"伴或不伴有乳牙发育不全/孤颌症、成髓不全症、视网膜动脉、17p13.3微缺失综合征、神经元病变、46xy性别逆转、马蹄内翻足、四重单体、霍纳综合征、尿道下裂、肩胛骨综合征、46,xy性别逆转、巨型水泥瘤、半面肌增生症、先天性角膜混浊、畸形-外畸形伴腓骨发育不良或发育不全、多指畸形、46,XX男性性别逆转综合征、上前牙突出导致的错颌畸形",精神分裂症,D,"该中药西医疾病为牙齿排列不齐，伴或不伴有乳牙发育不全/孤颌症、成髓不全症、视网膜动脉、17p13.3微缺失综合征、神经元病变、46xy性别逆转、马蹄内翻足、四重单体、霍纳综合征、尿道下裂、肩胛骨综合征、46,xy性别逆转、巨型水泥瘤、半面肌增生症、先天性角膜混浊、畸形-外畸形伴腓骨发育不良或发育不全、多指畸形、46,XX男性性别逆转综合征、上前牙突出导致的错颌畸形",A,0
水牛角具有哪些药理作用,增进组织再生作用,促进淋巴细胞转化,增加脑血流量,降血压,促进消化,D,该中药药理为强心，降血压，解热，止血，抗惊厥，镇静,A,0
水蛭治疗哪些中医疾病,痰厥,中风,咯血,烦躁,湿疮,B,该中药中医疾病为中风，经闭,C,0
苦杏仁治疗哪些西医疾病,乳腺癌,脱水型遗传性口腔粘膜细胞增多症,惠普尔病,抗磷脂综合征,胃肠道间质瘤,D,该中药西医疾病为抗磷脂综合征、皮炎、幽门狭窄、特应性皮炎、免疫缺陷伴有白细胞和淋巴细胞功能缺陷以及对组胺-1拮抗剂的反应、肺纤维化、心肌病、盆腔脂肪瘤伴交叉性肾异位症、霍纳综合征、长骨金刚瘤、神经元病变、冷冻性水肿,B,0
油松节治疗哪些中医疾病,骨痿,历节风,大头瘟,虚劳病,胎漏,B,该中药中医疾病为风寒湿痹，历节风，转筋,B,1
胡芦巴治疗哪些证候,肝阳上亢证,风寒表证,下元虚冷证,肾阳不足证,肝郁化火证,C,该中药中医证候为下元虚冷证，肾阳不足证，阳虚诸证，寒湿证,C,1
黄柏包含哪些化学成分,野黄芩苷,野麦碱,小檗碱,二氧化硅,地肤子皂苷Ic,C,该中药化学成分为小檗碱，巴马汀，药根碱，木兰花碱，黄柏碱,A,0
红参的类别是哪些,安神药,止血药,解表药,补虚药,开窍药,D,该中药一级类别为补虚药,D,1
葶苈子具有哪些功效,敛疮,泻肺平喘,消痈散结,收涩固脱,利尿消肿,B,该中药功效为泻肺平喘，行水消肿,E,0
大蓟炭治疗哪些西医疾病,晚发性视网膜变性,淋巴母细胞转化,髋关节发育不良,膀胱憩室,白色海绵痣,E,该中药西医疾病为精神分裂症、血浆升高、冠状动脉交叉、伴有或不伴有白内障的高铁蛋白血症、血管炎、肾上腺皮质功能减退、甲状腺癌、神经性肠发育不良、心肌病、肾炎/骨质疏松症、海因茨身体贫血症、白色海绵痣、冷冻性水肿,A,0
地枫皮的性味归经是哪些,苦，寒。归肝、胃、大肠经。,微辛、涩，温；有小毒。归膀胱、肾经。,苦、辛、咸，微温。归肺、脾、胃、大肠经。,辛、微苦，温；有小毒。归肝、胃经。,辛、热。归脾、胃、肾经。,B,该中药性味归经为微辛、涩，温；有小毒。归膀胱、肾经。,A,0
白薇配当归有哪些功效,清热除蒸,滋阴补肾,搜风通络,泄热通便,软坚散结,A,该中药配伍为白薇长于清热凉血，益阴退热；当归长于养血活血。二药配伍，共奏养血益阴，清热除蒸之效，适用于产后血虚发热，低热不退。,B,0
降香与哪个靶标相关,HMCN2,PSG1,AR,GART,LURAP1L,C,该中药靶点基因为PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，ACHE，ADORA3，CD38，ALDH2，AOX1，AKR1C3，ALPL，ALK，AMY1B，APP，AR，TEK，CYP19A1等。,C,1
黑芝麻配何首乌有哪些功效,利咽止痛,滑肠通便,消积止痛,止咳祛痰,活血消斑,B,该中药配伍为黑芝麻甘润而平，长于补益肝肾，益精养血；何首乌甘涩微温，善于补益精血，固肾乌发。两药配伍，可增强补益肝肾，固肾乌发的作用，适用于肝肾不足，精血亏虚引起的腰膝酸软，头晕耳鸣，须发早白，脱发等。,E,0
甘遂适用于哪些西医疾病,牛皮癣,线性伊贺病,心肌病,糖尿病,李-弗劳米尼综合征,A,该中药西医疾病为伴有或不伴有白内障的高铁蛋白血症、牛皮癣、红细胞增多症、伊贺肾病、伊加肾病、乌平顿病、低钾血症性周期性麻痹、心肌病、失聪、局灶性节段性肾小球硬化症、牛皮癣1、腹部肥胖-代谢综合征,A,1
海龙的类别是哪些,重镇安神药,利尿通淋药,温化寒痰药,补阳药,利湿退黄药,D,该中药二级类别为补阳药,B,0
三叉苦适用于哪些中医疾病,月经过多,痔疮,梅毒,乳蛾,早泄,D,该中药中医疾病为皮肤瘙痒，感冒，瘟疫，湿痹，乳蛾，喉痹，发热,A,0
全蝎有哪些药理作用,解痉镇痛,改善微循环,镇痛,抑制细胞免疫,降血压与呼吸抑制,C,该中药药理为抗癫痫，抗惊厥，镇痛，抗凝血，抗血栓，抗肿瘤，降压，抑菌,A,0
甘松具有哪些功效,补肾涩精,泻水逐饮,除骨蒸,利咽化痰,理气止痛,E,该中药功效为理气止痛，开郁醒脾，祛湿消肿,D,0
元胡的类别是什么,安神药,拔毒化腐生肌药,活血化瘀药,祛风湿药,解表药,C,该中药一级类别为活血化瘀药,D,0
白芍配枸杞子具有哪些功效,解表退热,养血柔肝,补血活血,活血消癥,敛肺止咳,B,该中药配伍为白芍长于养血柔肝，缓急止痛；枸杞子善于补肾益精，养肝明目。两药伍用，具有养血柔肝，补肾益精之功，适用于肝肾阴亏所致的头晕目眩，眼目干涩等。、白芍长于养血柔肝，缓急止痛；枸杞子善于补肾益精，养肝明目。两药伍用，具有养血柔肝，补肾益精之功，适用于肝肾阴亏所致的头晕目眩，眼目干涩等。,B,1
仙桃草具有哪些药理作用,增强心肌收缩,终止妊娠作,保护心脑血管,抗炎,抗焦虑,D,该中药药理为止血，抗炎，抗肿瘤，抗纤维化,C,0
野菊花具有哪些药理作用,调节血脂,抗炎,驱虫,促进胆汁分泌,抗辐射,B,该中药药理为降血压，抗炎,B,1
山豆根配射干具有哪些功效,理气止痛,止痛消肿,燥湿化痰,敛疮生肌,消肿止痛,E,该中药配伍为二者均为苦寒之品，皆为治疗咽喉肿痛之要药。山豆根能清泄肺胃之热，泻火解毒力胜；射干偏于降火祛痰散结。二药配用，增强清热解毒利咽，祛痰消肿之效，适用于痰热郁结，壅滞于咽喉而致的咽喉肿痛、喉中痰鸣、痰黏不易咯出等。、二者均为苦寒之品，皆为治疗咽喉肿痛之要药。山豆根能清泄肺胃之热，泻火解毒力胜；射干偏于降火祛痰散结。二药配用，增强清热解毒利咽，祛痰消肿之效，适用于痰热郁结，壅滞于咽喉而致的咽喉肿痛、喉中痰鸣、痰黏不易咯出等。,E,1
芒硝治疗哪些证候,虚阳上浮证,风寒证,实热积滞证,温病卫分证,实热积滞证,C,该中药中医证候为实热积滞证，实热证,E,0
厚朴花适用于哪些证候,气逆证,痰热上扰证,湿阻气滞证,血分证,肺胃阴伤证,C,该中药中医证候为湿阻气滞证,B,0
紫石英有哪些功效,助阳益精,行气导滞,利湿退黄,清热解毒,温肾暖宫,E,该中药功效为温肾暖宫，镇心安神，温肺平喘,D,0
草果的类别是什么,清热药,驱虫药,化湿药,利水渗湿药,解表药,C,该中药一级类别为化湿药,C,1
关木通具有哪些药理作用,利尿,平滑肌收缩,抗放射,防腐,镇痈,A,该中药药理为利尿，促进免疫，抗肿瘤,A,1
藕节的类别是什么,发散风寒药,补阳药,化瘀止血药,收敛止血药,温化寒痰药,D,该中药二级类别为收敛止血药,C,0
红曲的类别是什么,泻下药,化痰止咳平喘药,活血化瘀药,安神药,平肝息风药,C,该中药一级类别为活血化瘀药,C,1
益智具有哪些功效,温脾止泻摄唾,下气利水,益肾,固精缩尿,外用消风祛斑,A,该中药功效为暖肾固精缩尿，温脾止泻摄唾,A,1
车前子有哪些功效,散瘀止血,消痞散结,逐水,温补肝肾,利尿通淋,E,该中药功效为利尿通淋，渗湿止泻，明目，祛痰,E,1
吴茱萸包含哪些化学成分,吴茱萸碱,穗花双黄酮,山楂酸,牛蒡苷,十碳烯酸,A,该中药化学成分为吴茱萸碱，吴茱萸次碱，吴茱萸新碱，羟基吴茱萸碱，吴茱萸酰胺,A,1
珠子参适用于哪些中医疾病,瘙痒,感冒,脏躁,虚劳,强中,D,该中药中医疾病为虚劳，崩漏，咳嗽，咳血，吐血,D,1
赭石配旋覆花有哪些功效,解毒收湿,清热除烦,降气化痰,利湿退黄,补气生津,C,"该中药配伍为赭石质重性降，味苦降泄，降肺胃之逆气，为重镇降逆的要药；“诸花皆升，旋覆独降”,旋覆花虽质轻却性降，降气化痰，止呕止呃。二药伍用，为降肺胃逆气之常用药对，可增强降气化痰，止呕止呃之功，适用于肺气上逆之喘息及胃气上逆之呕吐，噫气，呃逆等症。",A,0
淡豆豉的性味归经是哪些,甘、苦，微温。归肺经。,辛，温。归肺、胃经。,苦、辛，凉。归肺、胃经。,辛，温；有毒。归肝、肾、大肠经。,酸、辛，寒；有毒。归肝、胆经。,C,该中药性味归经为苦、辛，凉。归肺、胃经。,B,0
西红花配丹参具有哪些功效,补肾固精,补虚强壮,止咳祛痰,活血消斑,养血祛风,D,该中药配伍为西红花活血散瘀兼开郁散结；丹参活血祛瘀兼清心安神。两药配伍，既祛瘀开郁，又安神定志，适用于忧郁气结，心神不安之惊悸恍惚等证。,D,1
马兜铃具有哪些功效,通利关节,止咳平喘,制酸止痛,祛痰开窍,除湿,B,该中药功效为清肺降气，止咳平喘，清肠消痔,C,0
葛花具有哪些功效,息风定惊,温补肝肾,解酒醒脾,温脾止泻摄唾,敛汗,C,该中药功效为解酒醒脾，清热利湿,C,1
瓦松有哪些功效,散风清热,凉血消斑,祛风解毒,利水,敛疮,E,该中药功效为凉血止血，解毒，敛疮,B,0
贯众与哪个靶标相关,FASN,HMGCS2,KRT74,PLK4,SRD5A2,E,该中药靶点基因为SRD5A2，ACHE，ADORA3，ALB，AKR1C3，ALPG，ALK，AR，CYP19A1，CYP19A1，AURKB，BACE1，BACE1，NR1H4，ABCG2，CA12，CA1，CA2，CA4，CA7等。,A,0
牡丹皮适用于哪些西医疾病,46Xy性腺发育不良,全血细胞减少症和闭塞性血管疾病,多发性家族性三表皮细胞瘤,肝腺瘤,惠普尔病,A,该中药西医疾病为46Xy性腺发育不良、脑动静脉畸形、三毛症、视网膜动脉、新型冠状病毒肺炎、甲状腺肿、白内障、神经元病变、腹部肥胖-代谢综合征、主动脉瘤、霍纳综合征、失聪、淋巴水肿和脑动静脉畸形、抗磷脂综合征、脾肿大、毛细血管畸形-动静脉畸形、脂肪性水肿、肌肉萎缩症、冠状动脉疾病,B,0
百部与哪些靶点基因有关,PLCG1,NUP88,G6PD,RXFP4,TUBB1,A,该中药靶点基因为PLCG1，HSD17B7，SRD5A2，HTR1B，HTR1D，HTR2B，HTR2C，HTR6，HTR7，ACHE，ADORA1，ADRA1A，ADRA1D，APP，AR，APAF1，CYP19A1，CYP19A1，AHR，AURKB等。,A,1
蒲黄有哪些药理作用,抑癌,止咳,预防肾结石形成,抗血栓,扩张冠状动脉,D,该中药药理为抗血栓，抗脑缺血，抗心肌缺血，抗血栓形成，止血,D,1
五味子治疗哪些证候,肺虚证,肝郁化火证,气阴不足证,风寒湿痹证,肾阳虚衰证,A,该中药中医证候为肺虚证，脾虚证,C,0
牛黄治疗哪些证候,肝火证,温热证,瘀血病症,风寒表证,肝阳上亢证,E,该中药中医证候为肝阳上亢证，风阳夹痰证，血虚生风证，热极动风证，痰热上扰证，肝阳化风证，风痰证,E,1
红粉含有哪些化学成分,松油-4-烯醇,氧化汞,肾叶鹿蹄草苷,N-甲基大麦芽碱,阿姆布醇酸,B,该中药化学成分为氧化汞,B,1
桑枝治疗哪些证候,气不摄血证,风湿证,寒饮证,肺燥证,脾胃气虚证,B,该中药中医证候为风寒湿痹证，风湿热痹证，风湿证,A,0
牛膝具有哪些功效,消积化滞,利咽,消食化积,消积止痛,逐瘀通经,E,该中药功效为逐瘀通经，补肝肾，强筋骨，利尿通淋，引血下行,E,1
海风藤的性味归经是哪些,苦、辛，凉；有毒。归肺、肝经。,辛、苦，微温。归肝经。,甘，微温。归脾、大肠、肝经。,辛、甘，温。归心、肺、膀胱经。,苦，温。归肾经。,B,该中药性味归经为辛、苦，微温。归肝经。,A,0
丹参配赤芍具有哪些功效,祛痰止咳,益气健脾,行气宽中,清热益气,凉血消痈,E,该中药配伍为丹参功善活血通经，为妇人月经不调之要药；赤芍功善散瘀清热，为瘀滞血热诸证多用。两药配伍，既活血调经，又清热凉血，适用于血热瘀滞所致的月经不调、经闭痛经等证。、丹参功善活血通经，为妇人月经不调之要药；赤芍功善散瘀清热，为瘀滞血热诸证多用。两药配伍，既活血调经，又清热凉血，适用于血热瘀滞所致的月经不调、经闭痛经等证。,E,1
紫苏梗配藿梗有哪些功效,祛风清热,温中止泻,解毒消斑,行气止痛,理气和中,E,该中药配伍为藿梗芳香入脾，理气宽中，化湿浊，治胸闷。紫苏梗善宣畅肺气，藿梗醒胃气而辟秽浊。二药配伍，理气和中，消胀止痛，肺胃同治，可用于治疗胃气不和、湿滞中阻、胸闷食少、泛恶嗳气、伤暑吐泻等症状。、藿梗芳香入脾，理气宽中，化湿浊，治胸闷。紫苏梗善宣畅肺气，藿梗醒胃气而辟秽浊。二药配伍，理气和中，消胀止痛，肺胃同治，可用于治疗胃气不和、湿滞中阻、胸闷食少、泛恶嗳气、伤暑吐泻等症状。,A,0
千年健含有哪些化学成分,木兰醇,3'-羟基芫花素,α-蒗烯,益智仁酮A、B,续随子素,C,该中药化学成分为α-蒗烯，β-蒗烯，柠檬烯，芳樟醇，α-松香醇，橙花醇，香叶醇，丁香油酚，香叶醛，异龙脑，广藿香醇,,0
拳参具有哪些药理作用,促进纤维蛋白溶解,保肝利胆,降压,降血压与呼吸抑制,溶血,E,该中药药理为溶血，止血,A,0
川牛膝配红花有哪些功效,消肿止痛,润燥通便,除湿止痒,涩肠止泻,化气行水,A,该中药配伍为川牛膝功能逐瘀通经、通利关节；红花功能活血祛瘀、通经止痛。两药合用，既祛瘀通经，又活血止痛，适用于瘀滞经行腹痛，或产后瘀阻腹痛，以及瘀血阻滞所致的跌打伤痛、心腹疼痛、痹证关节疼痛等证。,A,1
川贝母适用于哪些证候,肝肾亏虚证,湿热咳嗽证,肺热证,血瘀证,热入营血证,C,该中药中医证候为肺热证，阴虚证，燥痰证，热痰证,C,1
硫黄的类别是什么,利水渗湿药,温里药,攻毒杀虫止痒药,攻毒杀虫止痒药,理气药,C,该中药一级类别为攻毒杀虫止痒药,C,1
仙鹤草含有哪些化学成分,芒果苷,1-脱氧杜仲醇,苦木素,木犀草素-7-葡萄糖苷,小豆蔻明,D,该中药化学成分为木犀草素-7-葡萄糖苷，芹菜素-7-葡萄糖苷，槲皮素，芦丁，仙鹤草B，仙鹤草内酯，鞣质,B,0
干姜包含哪些化学成分,丁香油酚,哈尔满,6-姜辣素,"山柰酚-3,7-双葡萄糖苷",香荆芥酚,C,该中药化学成分为6-姜辣素，α-姜烯，牻牛儿醇，β-甜没药烯，姜酮,C,1
胡椒包含哪些化学成分,亚油酸,鸡矢藤苷,胡椒碱,大波斯菊甙,乌药根烯,C,该中药化学成分为胡椒碱，胡椒林碱，辣椒碱，胡椒油碱A、B、C，木脂素类,C,1
党参配麦冬具有哪些功效,解表清热,和胃止痛,退热除蒸,温肾散寒,补气生津,E,该中药配伍为党参甘平，补脾益肺，生津养血；麦冬甘微寒，养阴润肺，益胃生津。两药配伍，可增强补气生津的作用，适用于热伤气阴，津液大耗，心虚脉微等。,E,1
祖师麻配独活具有哪些功效,养血柔肝,温经散寒,温中理气,利湿退黄,祛风定惊,B,该中药配伍为祖师麻功能祛风除湿、活血定痛，可用于瘀阻疼痛与跌打损伤；独活归肝、肾经，性善下行，有祛风湿、止痹痛之效，多用于腰以下酸重疼痛。两药相须为用，可彰祛风除湿，活血通络，除痹定痛之功能，常用于治疗风湿痹痛、历节痛、腰腿疼痛等。、祖师麻功能祛风除湿、活血定痛，可用于瘀阻疼痛与跌打损伤；独活归肝、肾经，性善下行，有祛风湿、止痹痛之效，多用于腰以下酸重疼痛。两药相须为用，可彰祛风除湿，活血通络，除痹定痛之功能，常用于治疗风湿痹痛、历节痛、腰腿疼痛等。,B,1
麻黄根具有哪些药理作用,抗癫痫,雄激素样作用,增加尿素尿酸排泄,升压,抗骨质疏松症,D,该中药药理为平滑肌呈收缩作用，升压,C,0
槐花具有哪些药理作用,保护肾脏,减少血糖,减慢心率,峻烈之性和缓,解毒,C,该中药药理为抗炎，止血，减慢心率，抗菌,A,0
淡竹叶适用于哪些西医疾病,高尿酸血症肾病,"46,xx性别逆转",痉挛性截瘫伴性早熟,肾小球囊肿性肾病伴高尿酸血症和异位性尿失禁,低钾血症性周期性麻痹,C,该中药西医疾病为痉挛性截瘫伴性早熟、脱发、皮肤胶原血管病、结节性软骨发育不良症、外胚层发育不良、脱皮综合症、卵巢早衰、肌病、巴特氏病、脱皮综合征、缺乏Properdin、卵巢早衰2a、多发性内分泌肿瘤、指纹体肌病、脯肽酶缺乏症,A,0
蛇床子配菟丝子有哪些功效,消胀止痛,清热燥湿,宣肺利咽,凉肝定惊,利尿消肿,B,该中药配伍为蛇床子性温，入肾经而有温肾壮阳之功；菟丝子辛以润燥，甘能补虚，为平补阴阳之品，功能补肾阳、益肾精以固精缩尿。二药合用，可增强温肾助阳作用，适用于肾虚阳痿滑泄、宫冷不孕，虚寒带下等。,B,1
